Date;Contenu_retour;Source
24/02/2023;"Une bonne nouvelle annoncée par 
@gouvernementFR
, mais nous restons vigilants car la majorité des investissements devront se faire sur les quinquennats suivants. Le train doit devenir une priorité de tous nos gouvernants pour décarbonner nos transports. 
@TERHDFusagers
 
@FDhersin";Twitter @TERHDFusagers
24/02/2023;"Vaches à  lait? Évitons l'outrance __ vous verrez le ""cout"" de l'ouverture à la concurrence__ça finira comme les concessions autoroutières __... on en reparle dans 15 ans !";Twitter @Fdhersin
24/02/2023;Parce que les lignes régionales ne font-elles pas partie du réseau ferré national ? Vous pouvez être sûr, néanmoins, que les bénéfices dégagés par vos futurs exploitants des TER, hors SNCF, ne seront pas réinvestis dans le réseau !;Twitter @Fdhersin
24/02/2023;"en quoi le fait de taper en permanence sur la SNCF va améliorer le service pour les usagers du TER?
Vous êtes vice-président à la région 
@hautsdefrance
, soyons sérieux comme dirait votre président 
@xavierbertrand
.";Twitter @Fdhersin
24/02/2023;"Faut bien terminer la semaine comme on l'avait commencé la SNCF...
LE k70 Hazebrouck Dunkerque de 07h16 avec 10 minutes de retard...
Ben tiens... Mais que de prestations minables...
Bizarrement le contrôleur sncf va bien rester au chaud avec son copain le conducteur pour le trajet... Ben non faut pas affronter la colère des usagers";Facebook Groupe des usagers en colère des ter des hauts de France
25/02/2023;Retour maison avec #TERHDF, fin des congés ??;Twitter #TERHDF
25/02/2023;"Des projets concrets en HdF à financer grâce 100 Mds annoncés : rénovation et électrification complète de l'axe Paris-Calais et réouverture d'Abbeville-Le Treport 
@xavierbertrand
 
@FDhersin
 
@TERHDFusagers
 
@VDNCalais
 
@CourrierPicard
 
@lemiroirdunord
 
@TERHDF";Twitter @TERHDFusagers
26/02/2023;"il serait opportun de supprimer les gares IDF car on compte, et recompte les mêmes passagers d'une gare voisine à l'autre ... les chiffres, ces petits être fragiles à qui ont fait dire n'importe quoi poke 
@Fdhersin";Twitter @Fdhersin
27/02/2023;"1 train arrive à côté de nous, démarre avant. Maintenant, nous avons 1 tgv à côté de nous qui va sans doute desservir la gare avant nous, car nous ne sommes que de pauvres abonnés régionaux ET l’excuse d’1 seule personne sur les voies qui bloque tte la circulation ?!!! 
@FDhersin";Twitter @Fdhersin
27/02/2023;Nous sommes toujours coincés et des trains passent cela commence à chauffer;Twitter @Fdhersin
27/02/2023;"Le P20 de 18h25 qui est parti, pas le 18h58 indiqué avec un retard substantiel.
Entre le K20 de 17h46 et le P20 de 18h25, il y a le P20 de 17h58.
D'après un passager du P20, c'est ce dernier qui a heurté un animal.
Alors ?";Twitter @Fdhersin
27/02/2023;Jamais... La région z beau le dire à SNCF mais la SNCF nous pisse dessus depuis plusieurs années....;Twitter @Fdhersin
27/02/2023;"Et donc vous préférez jouer avec la sécurité  des passagers, la composition  des trains  c'est  places  assises,  c'est  marqué  dans votre règlement.  
@JeromeBodel
 
@FDhersin
 
@Cbeaune";Twitter @Fdhersin
27/02/2023;"Bonjour M 
@FDhersin
. 6h11 et 6h31 Creil-PNO venant d'Amiens encore en composition courte ce matin. Quand allons nous enfin récupérer des compos normales sur Amiens-Creil-PNO? 
@SNCFvamtuer";Twitter @Fdhersin
27/02/2023;"Il est 6h20 et le 
@TERHDF
  Valenciennes-Lille  est encore plus petit que d'habitude, des gens sont déjà  debout , car le 
@TERHDF
 n'a pas de clients, elle transporte du bétail. La France qui se lève tôt ne mérite pas mieux? 
@JeromeBodel
 
@FDhersin
 
@CBeaune";Twitter @Fdhersin
27/02/2023;"On a terminé la semaine dernière avec un retard de 20 min sur le K70 Hazebrouck Dunkerque 
On reprend la semaine avec un retard 30 min....
La SNCF toujours l'incompétence";Facebook Groupe des usagers en colère des ter des hauts de France
01/03/2023;"Bjr: alors si notre confiance vous est accordée il faut passer aux actes : TRIPLE A ; assis avertit à l’heure ! 
@SNCFvamtuer
 
@IDR_80
 
@Fdhersin";Twitter @Fdhersin
01/03/2023;"Je retiens juste que 
@xavierbertrand
 et 
@FDhersin
 ont assumé jusqu’au bout leurs désaccords, leurs motivations, leurs engagements. Et ils ont les résultats.

Il reste du boulot pour que les voyageurs  quotidiens voient un vrai chgt mais la 
@hautsdefrance
 est vraiment pionnière.";Twitter @Fdhersin
01/03/2023;40 mn qu'on est coincés à quelques centaines de mètres de Valenciennes…;Twitter @Fdhersin
01/03/2023;Allo.....tu vas voir que comme d'habitude on va devoir courir  à  la dernière  minute dans un autre train, avec deux rames;Twitter @Fdhersin
01/03/2023;"Vraiment  ça devient  pénible  on peut rien prévoir, on peut pas avoir de vie à côté.  On fait quoi on attend dans le train, un autre train , on va manger bref on peut avoir une communication de crise! 
@FDhersin
 
@JPFarandou
 
@xavierbertrand
 
@Cbeaune";Twitter @Fdhersin
01/03/2023;"C'est donc ça des trains de qualité 
@FDhersin
 ? Le mépris, l'ignorance du voyageur.";Twitter @Fdhersin
01/03/2023;"A comme averti avait promis 
@xavierbertrand
. A votre à l'heure aussi. A votre assis également. Ce matin, aucun des trois n'a été respecté par 
@TERHDF
. 
@FDhersin
 ?";Twitter @Fdhersin
01/03/2023;"Le train ralentit même encore. En cinq minutes nous devons passer devant Ronchin à vitesse réduite. Encore un retard non motivé, 
@FDhersin
. À quand un respect des horaires. Trois ans que 
@TERHDF
 se moque des sous-voyageurs du C41.";Twitter @Fdhersin
02/03/2023;"Encore 1 journée de galère pour les voyageurs sur PNO Amiens 
@TERHDF
 2023 tous les jours désormais !!! Des retards de + en + longs, suppressions de + en + nombreuses. NON cela ne va pas mieux c'est pire  
@FDhersin
 
@xavierbertrand
 
@JeromeBodel
 
@JPFarandou
 
@SNCFvamtuer";Twitter @Fdhersin
02/03/2023;"Merci. Effectivement désormais 35 minutes de retard sur le k11... À ce niveau c'est plus un problème de mise en place. Bref, pas un trajet sans problème depuis des semaines, c'est usant __
Cc 
@SNCFvamtuer
 
@IDR_80
 
@Fdhersin";Twitter @Fdhersin
02/03/2023;"Il y a un truc qui marche très bien pour retenir les talus en terre. Cela s'appelle... __... 

Des arbres !!! __

@FDhersin
 
@marinetondelier
 
@MargauxRouchet";Twitter @Fdhersin
04/03/2023;"Hier j'ai pris un bus 
@TERHDF
 pour faire Comines Lille. C'est quand même aberrant de prendre un bus qui relie 2 gares ! 
@xavierbertrand
 
@hautsdefrance
 
@FDhersin
 
@lavoixdunord
 
@KarimaDelli
 
@marinetondelier
 bonjour, ça en est où des lignes Lille Comines et Lille Orchies ?";Twitter @Fdhersin
06/03/2023;"Bonjour, je ne trouve pas normal que Chantilly a que  deux trains pour se rendre sur Paris Creil a droit à 6 trains __ je soutiens la grève mais ça serait bien d'avoir droit au même transport que les autres usagers. 
@SNCFvamtuer
 
@Fdhersin";Twitter @Fdhersin
06/03/2023;En 60 minutes, trois trains prévus pour Amiens, aucun parti. J'ai quitté le taf il y a une heure et demie, je démarre quand svp ???;Twitter @Fdhersin
06/03/2023;"Bonsoir 
@TERHDF
 , dites juste une question comme ça, les retards de mise à quai sur le k11 de 17 h 31, c'est tous les soirs ou uniquement quand je suis pas en télétravail ? 

Parce que je suis à 100 % de réussite... 

Cc 
@SNCFvamtuer
 
@IDR_80
 
@FDhersin";Twitter @Fdhersin
